**bert_score_f, rougeL‑f, rouge2‑f, bart_score_avg_f – Evaluation Report**

---

## Table  

| Metric | Perturbation type | Variation ( % ) | Edit ratio | Score | % change vs. gold |
| | | 10 % | 0.111 | 0.153 | **‑10.6 %** |
| | | 15 % | 0.163 | 0.143 | **‑16.4 %** |
| | | 20 % | 0.210 | 0.138 | **‑19.3 %** |
| | | 25 % | 0.260 | 0.128 | **‑25.2 %** |
| | | 30 % | 0.311 | 0.118 | **‑31.3 %** |
| | | 35 % | 0.361 | 0.110 | **‑35.5 %** |
| | | 40 % | 0.408 | 0.101 | **‑41.1 %** |
| | | 45 % | 0.461 | 0.092 | **‑46.1 %** |
| | | 50 % | 0.507 | 0.086 | **‑49.6 %** |
| | noisepunct | 50 % | 0.052 | 0.171 | **0.0 %** |
| | | 100 % | 0.105 | 0.171 | **0.0 %** |
| | sentencemiddleswap | 1 sentence | 0.145 | 0.167 | **‑2.2 %** |
| | | 2 sentences | 0.255 | 0.162 | **‑5.1 %** |
| | | 3 sentences | 0.321 | 0.159 | **‑7.1 %** |
| | removepreposition | 40 % | 0.054 | 0.163 | **‑4.5 %** |
| | | 70 % | 0.093 | 0.157 | **‑8.0 %** |
| | | 100 % | 0.135 | 0.150 | **‑12.4 %** |
| | removestopwords | 10 % | 0.044 | 0.164 | **‑3.9 %** |
| | | 20 % | 0.088 | 0.158 | **‑7.4 %** |
| | | 30 % | 0.130 | 0.153 | **‑10.4 %** |
| | | 40 % | 0.175 | 0.145 | **‑15.0 %** |
| | | 50 % | 0.219 | 0.139 | **‑18.6 %** |
| | | 60 % | 0.263 | 0.134 | **‑21.6 %** |
| | randomlocalswap | 5 % | 0.056 | 0.152 | **‑11.4 %** |
| | | 15 % | 0.117 | 0.126 | **‑26.2 %** |
| | | 30 % | 0.169 | 0.105 | **‑38.9 %** |
| | | 60 % | 0.222 | 0.087 | **‑49.1 %** |
| | truncate (end‑removal) | 10 % | 0.114 | 0.170 | **‑0.7 %** |
| | | 20 % | 0.215 | 0.171 | **0.0 %** |
| | | 30 % | 0.312 | 0.173 | **+1.2 %** |
| | | 40 % | 0.413 | 0.172 | **+0.3 %** |
| | | 50 % | 0.515 | 0.173 | **+0.8 %** |
| | removearticle | 50 % | 0.039 | 0.160 | **‑6.5 %** |
| | | 100 % | 0.081 | 0.151 | **‑11.9 %** |
| | randomtokenrep | 5 % | 0.061 | 0.166 | **‑3.1 %** |
| | | 10 % | 0.111 | 0.162 | **‑5.6 %** |
| | | 15 % | 0.163 | 0.158 | **‑7.9 %** |
| | | 20 % | 0.210 | 0.154 | **‑10.0 %** |
| | | 25 % | 0.260 | 0.150 | **‑12.1 %** |
| | | 30 % | 0.311 | 0.147 | **‑14.2 %** |
| | | 35 % | 0.361 | 0.144 | **‑16.0 %** |
| | | 40 % | 0.408 | 0.141 | **‑17.7 %** |
| | | 45 % | 0.461 | 0.138 | **‑19.6 %** |
| | | 50 % | 0.507 | 0.135 | **‑21.1 %** |
| **bart_score_avg_f** | lemmatize | 0 % | 0.000 | –6.064 | 0.0 % |
| | | 50 % | 0.052 | –6.140 | **+1.3 %** |
| | | 100 % | 0.102 | –6.217 | **+2.5 %** |
| | random‑word‑drop | 5 % | 0.061 | –6.159 | **‑1.6 %** |
| | | 10 % | 0.111 | –6.251 | **‑3.1 %** |
| | | 15 % | 0.163 | –6.339 | **‑4.5 %** |
| | | 20 % | 0.210 | –6.472 | **‑6.7 %** |
| | | 25 % | 0.260 | –6.583 | **‑8.6 %** |
| | | 30 % | 0.311 | –6.734 | **‑11.1 %** |
| | | 35 % | 0.361 | –6.900 | **‑13.8 %** |
| | | 40 % | 0.408 | –7.103 | **‑17.1 %** |
| | | 45 % | 0.461 | –7.305 | **‑20.5 %** |
| | | 50 % | 0.507 | –7.507 | **‑23.8 %** |
| | noisepunct | 50 % | 0.052 | –6.156 | **‑1.5 %** |
| | | 100 % | 0.105 | –6.263 | **‑3.3 %** |
| | sentencemiddleswap | 1 sentence | 0.145 | –6.211 | **‑2.4 %** |
| | | 2 sentences | 0.255 | –6.365 | **‑5.0 %** |
| | | 3 sentences | 0.321 | –6.498 | **‑7.2 %** |
| | removepreposition | 40 % | 0.054 | –6.174 | **‑1.8 %** |
| | | 70 % | 0.093 | –6.278 | **‑3.5 %** |
| | | 100 % | 0.135 | –6.393 | **‑5.4 %** |
| | removestopwords | 10 % | 0.044 | –6.121 | **‑0.9 %** |
| | | 20 % | 0.088 | –6.178 | **‑1.9 %** |
| | | 30 % | 0.130 | –6.251 | **‑3.1 %** |
| | | 40 % | 0.175 | –6.344 | **‑4.6 %** |
| | | 50 % | 0.219 | –6.441 | **‑6.2 %** |
| | | 60 % | 0.263 | –6.554 | **‑8.1 %** |
| | randomlocalswap | 5 % | 0.056 | –6.306 | **‑4.0 %** |
| | | 15 % | 0.117 | –6.564 | **‑8.3 %** |
| | | 30 % | 0.169 | –6.789 | **‑12.0 %** |
| | | 60 % | 0.222 | –7.010 | **‑15.6 %** |
| | truncate (end‑removal) | 10 % | 0.114 | –5.984 | **+1.3 %** |
| | | 20 % | 0.215 | –5.953 | **+1.8 %** |
| | | 30 % | 0.312 | –6.009 | **+0.9 %** |
| | | 40 % | 0.413 | –6.189 | **‑2.1 %** |
| | | 50 % | 0.515 | –6.501 | **‑7.2 %** |
| | removearticle | 50 % | 0.039 | –6.117 | **‑0.9 %** |
| | | 100 % | 0.081 | –6.198 | **‑2.2 %** |
| | randomtokenrep | 5 % | 0.061 | –6.172 | **‑1.8 %** |
| | | 10 % | 0.111 | –6.261 | **‑3.2 %** |
| | | 15 % | 0.163 | –6.359 | **‑4.9 %** |
| | | 20 % | 0.210 | –6.440 | **‑6.2 %** |
| | | 25 % | 0.260 | –6.530 | **‑7.7 %** |
| | | 30 % | 0.311 | –6.620 | **‑9.2 %** |
| | | 35 % | 0.361 | –6.714 | **‑10.7 %** |
| | | 40 % | 0.408 | –6.785 | **‑11.9 %** |
| | | 45 % | 0.461 | –6.861 | **‑13.2 %** |
| | | 50 % | 0.507 | –6.933 | **‑14.3 %** |

*All percentages are computed as*  
\[
\frac{\text{score}_{\text{perturbed}}-\text{score}_{\text{gold}}}{\text{score}_{\text{gold}}}\times100 .
\]

---

## 1. Sensitivity to the Perturbation  

### bert_score_f  

| Perturbation | Monotonous decrease | Super‑linear decrease | Change‑rate |
|--------------|--------------------|----------------------|-------------|
| lemmatize | **yes** | **no** | low |
| random‑word‑drop | **yes** | **no** | **high** |
| noisepunct | **yes** | **yes** | low |
| sentencemiddleswap | **yes** | **no** | moderate |
| removepreposition | **yes** | **yes** | low |
| removestopwords | **yes** | **no** | moderate |
| randomlocalswap | **yes** | **no** | **high** |
| truncate | **no** | – | low |
| removearticle | **yes** | **yes** | low |
| randomtokenrep | **yes** | **no** | **high** |

### rougeL‑f  

| Perturbation | Monotonous decrease | Super‑linear decrease | Change‑rate |
|--------------|--------------------|----------------------|-------------|
| lemmatize | **yes** | **yes** | low |
| random‑word‑drop | **yes** | **yes** | low |
| noisepunct | **yes** | **no** | low |
| sentencemiddleswap | **yes** | **no** | low |
| removepreposition | **yes** | **yes** | low |
| removestopwords | **yes** | **yes** | low |
| randomlocalswap | **yes** | **yes** | low |
| truncate | **no** | – | low |
| removearticle | **yes** | **yes** | low |
| randomtokenrep | **yes** | **yes** | low |

### rouge2‑f  

| Perturbation | Monotonous decrease | Super‑linear decrease | Change‑rate |
|--------------|--------------------|----------------------|-------------|
| lemmatize | **yes** | **yes** | low |
| random‑word‑drop | **yes** | **yes** | **moderate** |
| noisepunct | **yes** | **no** | low |
| sentencemiddleswap | **yes** | **no** | low |
| removepreposition | **yes** | **yes** | low |
| removestopwords | **yes** | **yes** | low |
| randomlocalswap | **yes** | **no** | **moderate** |
| truncate | **no** | – | low |
| removearticle | **yes** | **yes** | low |
| randomtokenrep | **yes** | **yes** | low |

### bart_score_avg_f  

| Perturbation | Monotonous decrease | Super‑linear decrease | Change‑rate |
|--------------|--------------------|----------------------|-------------|
| lemmatize | **yes** | **yes** | low |
| random‑word‑drop | **yes** | **yes** | low |
| noisepunct | **yes** | **yes** | low |
| sentencemiddleswap | **yes** | **no** | low |
| removepreposition | **yes** | **yes** | low |
| removestopwords | **yes** | **yes** | low |
| randomlocalswap | **yes** | **no** | low |
| truncate | **no** | – | low |
| removearticle | **yes** | **yes** | low |
| randomtokenrep | **yes** | **yes** | low |

---

## Recommendation  

A metric is recommended for a perturbation type only when it shows **high** change‑rate **and** a **super‑linear** decrease.

| Perturbation | Recommended metric |
|--------------|-------------------|
| lemmatize | none |
| random‑word‑drop | none |
| noisepunct | none |
| sentencemiddleswap | none |
| removepreposition | none |
| removestopwords | none |
| randomlocalswap | none |
| truncate | none |
| removearticle | none |
| randomtokenrep | none |

*No evaluated metric satisfies both the “high” change‑rate and “super‑linear” criteria for any perturbation type.*
