**[metrics]**  

---

## Table  

| Metric | Perturbation | Variation | Score | Edit Ratio | Change vs Gold |
| **unieval_relevance** | – (gold) | 0 % | 0.781 | 0.000 | 0.0 % |
|  | Verb‑randomisation | 50 % | 0.726 | 0.052 | –7.0 % |
|  | Verb‑randomisation | 100 % | 0.695 | 0.102 | –11.0 % |
|  | Word‑drop | 5 % | 0.457 | 0.061 | –41.5 % |
|  | Word‑drop | 10 % | 0.277 | 0.111 | –64.5 % |
|  | Word‑drop | 15 % | 0.196 | 0.163 | –74.9 % |
|  | Word‑drop | 20 % | 0.123 | 0.210 | –84.2 % |
|  | Word‑drop | 25 % | 0.078 | 0.260 | –90.0 % |
|  | Word‑drop | 30 % | 0.050 | 0.311 | –93.6 % |
|  | Word‑drop | 35 % | 0.035 | 0.361 | –95.5 % |
|  | Word‑drop | 40 % | 0.030 | 0.408 | –96.2 % |
|  | Word‑drop | 45 % | 0.019 | 0.461 | –97.6 % |
|  | Word‑drop | 50 % | 0.015 | 0.507 | –98.0 % |
|  | Punct‑noise | 50 % | 0.648 | 0.052 | –17.1 % |
|  | Punct‑noise | 100 % | 0.573 | 0.105 | –26.6 % |
|  | SVO‑swap (1 sent.) | 1 | 0.303 | 0.145 | –61.2 % |
|  | SVO‑swap (2 sent.) | 2 | 0.185 | 0.255 | –76.4 % |
|  | SVO‑swap (3 sent.) | 3 | 0.118 | 0.321 | –84.9 % |
|  | Prep‑drop | 40 % | 0.625 | 0.054 | –20.0 % |
|  | Prep‑drop | 70 % | 0.526 | 0.093 | –32.7 % |
|  | Prep‑drop | 100 % | 0.437 | 0.135 | –44.1 % |
|  | Stop‑word‑drop | 10 % | 0.695 | 0.044 | –11.1 % |
|  | Stop‑word‑drop | 20 % | 0.623 | 0.088 | –20.2 % |
|  | Stop‑word‑drop | 30 % | 0.551 | 0.130 | –29.4 % |
|  | Stop‑word‑drop | 40 % | 0.492 | 0.175 | –37.1 % |
|  | Stop‑word‑drop | 50 % | 0.431 | 0.219 | –44.8 % |
|  | Stop‑word‑drop | 60 % | 0.372 | 0.263 | –52.4 % |
|  | Local‑swap | 5 % | 0.319 | 0.056 | –59.2 % |
|  | Local‑swap | 15 % | 0.115 | 0.117 | –85.3 % |
|  | Local‑swap | 30 % | 0.038 | 0.169 | –95.1 % |
|  | Local‑swap | 60 % | 0.018 | 0.222 | –97.7 % |
|  | Truncate (end) | 10 % | 0.479 | 0.114 | –38.7 % |
|  | Truncate (end) | 20 % | 0.374 | 0.215 | –52.1 % |
|  | Truncate (end) | 30 % | 0.450 | 0.312 | –42.4 % |
|  | Truncate (end) | 40 % | 0.394 | 0.413 | –49.5 % |
|  | Truncate (end) | 50 % | 0.394 | 0.515 | –49.5 % |
|  | Article‑drop | 50 % | 0.770 | 0.039 | –1.4 % |
|  | Article‑drop | 100 % | 0.764 | 0.081 | –2.2 % |
|  | Token‑repeat | 5 % | 0.481 | 0.061 | –38.5 % |
|  | Token‑repeat | 10 % | 0.359 | 0.111 | –54.1 % |
|  | Token‑repeat | 15 % | 0.249 | 0.163 | –68.2 % |
|  | Token‑repeat | 20 % | 0.208 | 0.210 | –73.3 % |
|  | Token‑repeat | 25 % | 0.169 | 0.260 | –78.3 % |
|  | Token‑repeat | 30 % | 0.142 | 0.311 | –81.8 % |
|  | Token‑repeat | 35 % | 0.128 | 0.361 | –83.7 % |
|  | Token‑repeat | 40 % | 0.125 | 0.408 | –83.9 % |
|  | Token‑repeat | 45 % | 0.119 | 0.461 | –84.8 % |
|  | Token‑repeat | 50 % | 0.103 | 0.507 | –86.8 % |
| **unieval_consistency** | – (gold) | 0 % | 0.860 | 0.000 | 0.0 % |
|  | Verb‑randomisation | 50 % | 0.842 | 0.052 | –2.1 % |
|  | Verb‑randomisation | 100 % | 0.823 | 0.102 | –4.3 % |
|  | Word‑drop | 5 % | 0.764 | 0.061 | –11.2 % |
|  | Word‑drop | 10 % | 0.699 | 0.111 | –18.7 % |
|  | Word‑drop | 15 % | 0.648 | 0.163 | –24.6 % |
|  | Word‑drop | 20 % | 0.571 | 0.210 | –33.6 % |
|  | Word‑drop | 25 % | 0.531 | 0.260 | –38.2 % |
|  | Word‑drop | 30 % | 0.471 | 0.311 | –45.2 % |
|  | Word‑drop | 35 % | 0.424 | 0.361 | –50.7 % |
|  | Word‑drop | 40 % | 0.375 | 0.408 | –56.3 % |
|  | Word‑drop | 45 % | 0.349 | 0.461 | –59.5 % |
|  | Word‑drop | 50 % | 0.322 | 0.507 | –62.5 % |
|  | Punct‑noise | 50 % | 0.798 | 0.052 | –7.2 % |
|  | Punct‑noise | 100 % | 0.746 | 0.105 | –13.2 % |
|  | SVO‑swap (1 sent.) | 1 | 0.762 | 0.145 | –11.4 % |
|  | SVO‑swap (2 sent.) | 2 | 0.665 | 0.255 | –22.7 % |
|  | SVO‑swap (3 sent.) | 3 | 0.592 | 0.321 | –31.2 % |
|  | Prep‑drop | 40 % | 0.802 | 0.054 | –6.7 % |
|  | Prep‑drop | 70 % | 0.763 | 0.093 | –11.2 % |
|  | Prep‑drop | 100 % | 0.728 | 0.135 | –15.3 % |
|  | Stop‑word‑drop | 10 % | 0.834 | 0.044 | –3.1 % |
|  | Stop‑word‑drop | 20 % | 0.806 | 0.088 | –6.3 % |
|  | Stop‑word‑drop | 30 % | 0.783 | 0.130 | –8.9 % |
|  | Stop‑word‑drop | 40 % | 0.756 | 0.175 | –12.1 % |
|  | Stop‑word‑drop | 50 % | 0.732 | 0.219 | –14.8 % |
|  | Stop‑word‑drop | 60 % | 0.709 | 0.263 | –17.5 % |
|  | Local‑swap | 5 % | 0.731 | 0.056 | –15.0 % |
|  | Local‑swap | 15 % | 0.626 | 0.117 | –27.2 % |
|  | Local‑swap | 30 % | 0.536 | 0.169 | –37.7 % |
|  | Local‑swap | 60 % | 0.450 | 0.222 | –47.7 % |
|  | Truncate (end) | 10 % | 0.811 | 0.114 | –5.7 % |
|  | Truncate (end) | 20 % | 0.811 | 0.215 | –5.7 % |
|  | Truncate (end) | 30 % | 0.806 | 0.312 | –6.3 % |
|  | Truncate (end) | 40 % | 0.789 | 0.413 | –8.2 % |
|  | Truncate (end) | 50 % | 0.812 | 0.515 | –5.6 % |
|  | Article‑drop | 50 % | 0.857 | 0.039 | –0.3 % |
|  | Article‑drop | 100 % | 0.854 | 0.081 | –0.7 % |
|  | Token‑repeat | 5 % | 0.796 | 0.061 | –7.4 % |
|  | Token‑repeat | 10 % | 0.760 | 0.111 | –11.6 % |
|  | Token‑repeat | 15 % | 0.721 | 0.163 | –16.2 % |
|  | Token‑repeat | 20 % | 0.704 | 0.210 | –18.1 % |
|  | Token‑repeat | 25 % | 0.681 | 0.260 | –20.8 % |
|  | Token‑repeat | 30 % | 0.664 | 0.311 | –22.7 % |
|  | Token‑repeat | 35 % | 0.646 | 0.361 | –24.8 % |
|  | Token‑repeat | 40 % | 0.643 | 0.408 | –25.2 % |
|  | Token‑repeat | 45 % | 0.627 | 0.461 | –27.1 % |
|  | Token‑repeat | 50 % | 0.618 | 0.507 | –28.2 % |
| **unieval_coherence** | – (gold) | 0 % | 0.898 | 0.000 | 0.0 % |
|  | Verb‑randomisation | 50 % | 0.869 | 0.052 | –3.1 % |
|  | Verb‑randomisation | 100 % | 0.848 | 0.102 | –5.5 % |
|  | Word‑drop | 5 % | 0.651 | 0.061 | –27.4 % |
|  | Word‑drop | 10 % | 0.513 | 0.111 | –42.9 % |
|  | Word‑drop | 15 % | 0.418 | 0.163 | –53.4 % |
|  | Word‑drop | 20 % | 0.306 | 0.210 | –65.9 % |
|  | Word‑drop | 25 % | 0.260 | 0.260 | –71.0 % |
|  | Word‑drop | 30 % | 0.210 | 0.311 | –76.6 % |
|  | Word‑drop | 35 % | 0.158 | 0.361 | –82.4 % |
|  | Word‑drop | 40 % | 0.147 | 0.408 | –83.6 % |
|  | Word‑drop | 45 % | 0.124 | 0.461 | –86.2 % |
|  | Word‑drop | 50 % | 0.096 | 0.507 | –89.3 % |
|  | Punct‑noise | 50 % | 0.827 | 0.052 | –7.9 % |
|  | Punct‑noise | 100 % | 0.779 | 0.105 | –13.2 % |
|  | SVO‑swap (1 sent.) | 1 | 0.517 | 0.145 | –42.4 % |
|  | SVO‑swap (2 sent.) | 2 | 0.394 | 0.255 | –56.1 % |
|  | SVO‑swap (3 sent.) | 3 | 0.315 | 0.321 | –64.9 % |
|  | Prep‑drop | 40 % | 0.800 | 0.054 | –10.9 % |
|  | Prep‑drop | 70 % | 0.737 | 0.093 | –17.9 % |
|  | Prep‑drop | 100 % | 0.680 | 0.135 | –24.2 % |
|  | Stop‑word‑drop | 10 % | 0.847 | 0.044 | –5.6 % |
|  | Stop‑word‑drop | 20 % | 0.802 | 0.088 | –10.6 % |
|  | Stop‑word‑drop | 30 % | 0.757 | 0.130 | –15.7 % |
|  | Stop‑word‑drop | 40 % | 0.712 | 0.175 | –20.7 % |
|  | Stop‑word‑drop | 50 % | 0.673 | 0.219 | –25.0 % |
|  | Stop‑word‑drop | 60 % | 0.631 | 0.263 | –29.7 % |
|  | Local‑swap | 5 % | 0.565 | 0.056 | –37.0 % |
|  | Local‑swap | 15 % | 0.360 | 0.117 | –59.8 % |
|  | Local‑swap | 30 % | 0.260 | 0.169 | –71.0 % |
|  | Local‑swap | 60 % | 0.183 | 0.222 | –79.6 % |
|  | Truncate (end) | 10 % | 0.661 | 0.114 | –26.4 % |
|  | Truncate (end) | 20 % | 0.572 | 0.215 | –36.3 % |
|  | Truncate (end) | 30 % | 0.604 | 0.312 | –32.7 % |
|  | Truncate (end) | 40 % | 0.573 | 0.413 | –36.2 % |
|  | Truncate (end) | 50 % | 0.575 | 0.515 | –35.9 % |
|  | Article‑drop | 50 % | 0.891 | 0.039 | –0.8 % |
|  | Article‑drop | 100 % | 0.884 | 0.081 | –1.5 % |
|  | Token‑repeat | 5 % | 0.657 | 0.061 | –26.8 % |
|  | Token‑repeat | 10 % | 0.549 | 0.111 | –38.8 % |
|  | Token‑repeat | 15 % | 0.461 | 0.163 | –48.7 % |
|  | Token‑repeat | 20 % | 0.430 | 0.210 | –52.1 % |
|  | Token‑repeat | 25 % | 0.387 | 0.260 | –56.9 % |
|  | Token‑repeat | 30 % | 0.368 | 0.311 | –59.0 % |
|  | Token‑repeat | 35 % | 0.353 | 0.361 | –60.7 % |
|  | Token‑repeat | 40 % | 0.358 | 0.408 | –60.1 % |
|  | Token‑repeat | 45 % | 0.356 | 0.461 | –60.4 % |
|  | Token‑repeat | 50 % | 0.339 | 0.507 | –62.3 % |

*All percentages are relative to the gold‑summary score for the same metric.*

---

## 1. Sensitivity to the Perturbation  

The table below reports, for each **metric** and each **perturbation type**, whether the score shows a **monotonous decrease**, whether the decrease is **super‑linear**, and the **change‑rate** (low / moderate / high) according to the definitions supplied.

### unieval_overall  

| Perturbation | Monotonous ↓ | Super‑linear ↓ | Change‑rate |
|--------------|--------------|----------------|-------------|
| Verb‑randomisation | yes | yes | low |
| Word‑drop | yes | **no** | high |
| Punct‑noise | yes | yes | low |
| SVO‑swap | yes | **no** | moderate |
| Preposition‑drop | yes | **no** | moderate |
| Stop‑word‑drop | yes | **no** | moderate |
| Local‑swap | yes | **no** | high |
| Truncate (end) | **no** | **no** | moderate |
| Article‑drop | yes | yes | low |
| Token‑repeat | yes | **no** | high |

### unieval_fluency  

| Perturbation | Monotonous ↓ | Super‑linear ↓ | Change‑rate |
|--------------|--------------|----------------|-------------|
| Verb‑randomisation | yes | yes | low |
| Word‑drop | yes | **no** | high |
| Punct‑noise | yes | yes | moderate |
| SVO‑swap | yes | **no** | high |
| Preposition‑drop | yes | **no** | moderate |
| Stop‑word‑drop | yes | **no** | moderate |
| Local‑swap | yes | **no** | high |
| Truncate (end) | yes | **no** | moderate |
| Article‑drop | yes | yes | low |
| Token‑repeat | yes | **no** | high |

### unieval_relevance  

| Perturbation | Monotonous ↓ | Super‑linear ↓ | Change‑rate |
|--------------|--------------|----------------|-------------|
| Verb‑randomisation | yes | yes | low |
| Word‑drop | yes | **no** | high |
| Punct‑noise | yes | yes | moderate |
| SVO‑swap | yes | **no** | high |
| Preposition‑drop | yes | **no** | moderate |
| Stop‑word‑drop | yes | **no** | moderate |
| Local‑swap | yes | **no** | high |
| Truncate (end) | **no** | **no** | moderate |
| Article‑drop | yes | yes | low |
| Token‑repeat | yes | **no** | high |

### unieval_consistency  

| Perturbation | Monotonous ↓ | Super‑linear ↓ | Change‑rate |
|--------------|--------------|----------------|-------------|
| Verb‑randomisation | yes | yes | low |
| Word‑drop | yes | **no** | moderate |
| Punct‑noise | yes | yes | low |
| SVO‑swap | yes | **no** | low |
| Preposition‑drop | yes | **no** | low |
| Stop‑word‑drop | yes | **no** | low |
| Local‑swap | yes | **no** | moderate |
| Truncate (end) | **no** | **no** | low |
| Article‑drop | yes | yes | low |
| Token‑repeat | yes | **no** | low |

### unieval_coherence  

| Perturbation | Monotonous ↓ | Super‑linear ↓ | Change‑rate |
|--------------|--------------|----------------|-------------|
| Verb‑randomisation | yes | yes | low |
| Word‑drop | yes | **no** | high |
| Punct‑noise | yes | yes | low |
| SVO‑swap | yes | **no** | moderate |
| Preposition‑drop | yes | **no** | low |
| Stop‑word‑drop | yes | **no** | moderate |
| Local‑swap | yes | **no** | high |
| Truncate (end) | yes | **no** | low |
| Article‑drop | yes | yes | low |
| Token‑repeat | yes | **no** | high |

*“yes” indicates the property holds; “no” indicates it does not.*

---

## Recommendation  

A metric is recommended for a perturbation type only when it exhibits **both** a **high** change‑rate **and** a **super‑linear** decrease.  
According to the analysis above, **no metric** satisfies both conditions for any perturbation type.

| Perturbation | Recommended Metric |
|--------------|-------------------|
| Verb‑randomisation | none |
| Word‑drop | none |
| Punct‑noise | none |
| SVO‑swap | none |
| Preposition‑drop | none |
| Stop‑word‑drop | none |
| Local‑swap | none |
| Truncate (end) | none |
| Article‑drop | none |
| Token‑repeat | none |

*Thus, while several metrics are sensitive to certain noise types, none simultaneously achieve the required high, super‑linear responsiveness that would make them a direct substitute for human evaluation under the current test conditions.*
